YangSoulWolf
iRoXoR,10589,8246,269,28497
TropicaliaSoup,486,26,721,2251,13125
JoKeR_95,21,392,23273,23283
HeyItsHeeynaaah,11771,6746,20583,31478,20507,30276,28,24833
entauri,237,7791,5114,9253,9756
SirRazael,30,60,121,226,2952
Fuerzo,35838,23327,387,3604,10357,10165,17074,7791,9756
Nayuki_Minase,10161,25777
Geta-Ve,2001,1,6,11757
Grellisthabest
BabyLuvs2Write,6746,6547,16498,2685
AustinBoucinha
celid,1762,1575,918,2593,457
strawberrycheeks,7720,24765,235,2034,28891,24415,33486,30015,28297,23289
xANIMExGEEKx,4898,5114,20583,22,22535,30015,33985,33377
vincentw3347,29803,35120,32182
Vorosh,1,457,339,19,85
Plutes,31240
Retrostein
maou_ajuu,1482,21843,21939,19703,237,28621,28977
Toradorific
bakuenjincamillo,14075,30,2001,199,28805,392
katoanime,2001,877,269,237,11061,7054,2159,19855,57
Ninaizaki,6702,123,16498,14713,120,20507,10793,552
ArcanaNik,392,32281,227,1,31964,31933,5114
fantaby,25013,7054,25681,31964,14513,18115,30503,22043
cocoa_mocha
ddguide56,31043,28927,8086
TheAngryAngel,98,1,3342
Faerrum,227,11981,1,1119
orbbie,153,97,1818,9756,8676
Shikamui,11061
Roseanna92,18507,859,13601,23283,4081
MatiusLenin
Medic_chan
Nahiyan23,1575,37208,36653,33926,29803,4898,20583,1535,9253
StarColoredMagic,2034,5680,14741
MoreTrashPlease,6702,31798,9756,33003
vanweapon,8769
20DollarBJ
jabcreations,1818,269,813
Elvenerd,11111,22319,21843,4898,1535
YoungVagabond,3002,5,205,33,287,2178,732,1,543,1535
Sufyan3D2,1535
Liirin,879,3342,790
ForgottenSoul
Kodomo_R,1575,10721,17909,28249,1177,22359,1887
Berzalker,182,34055,32379,164,237,1
potatosandpaper,227,6594,9253,31240
Fusetsu
Golgarud,339
Mango-tan,9863,7647,17895,14813,918
ninjahighgurl
Agil-san,32281,13125,17074,23311,28735,790,14813
AzureusWind02
ROTRUY,14813,32281,28851,30276,4181,32949,17895,18153,23273,5114
dollie_mixtures,2605,1,523,6746,5081
Capukat,11061,5114,18115
Altrue
Baka_Aniki,34822,21405,14813,9253,13601,16049,6746
OumaShuKun,237,4224,9989,11741,10793,5258
Prescient,467
sesshylvr4ever
jessechugaga
fujiwarayuko,39565,33929,35459,36896,36456,33486,1735,20,31964
ManonSquirrel,32093,24833,20507,30205,23289,14741,14227,8129,32648
Anime-Obsessed,22535,457,1827,25013,21,8129,251
DrAnimus,35839,32937,32615,30831,13125,10638,33263
mickaelaria,17895
RikunoAce,35960,34321,5341,2966,31240,30901,856,32083,21405,6547
snocown
x3Rampage,481
Wanggg,1470,759,578,2451,245,28977,32998,31043
HELLSATAN,2581,3927,92,1575,341
VitaPur
ROPPONGii
hyper_lame
DenteLunae
conformityrules,13333
0taku_St0rm,9989,4224,11433,11843
iacobus,1,874
Alsoleo,31240,5114,28623,4477,3786,12355,10162,30484,9253
PotatoAnime,30,1089,875,33,339
Mangifera
junebug13,355,17074,3588,9756,13125,16067,30503,9253
Manumento,10800,13125,16498,387
Nemisa,457,135,235,658,22
BlueKojiro,13125,4181,5114,16498
R3dShift,1,9253,437,918,3702,33255,1488,34798,17549,30,9756,35120,6675,13759,30831,5081,731
alex565656
Lupusman
Vegetable_Juice
glycerin8,11837,5114,1726,392
SweetBlossoms12,23847,21995,6045,33352,16417,21647
MrReaver,31964,25013,5114,35120
dragone66330,2904,93,4181
Mit5ukii,9756,13125,226,16742,1690,16498,30276,13601,935,4898
InactiveSlush,11433,3092,4181
Not-A-Poker-Chip,35180,27989,8426,7791,30,440,16417,16662,3701,227
saminthapanti,32,431,37999,530,34933,35120
LelouchIsAlive
Fluffy55,934,1889,4224,11757
Timeseeker,1,20057,1210,1293
lekey9000,10793,14741,2001,13601
nbjellal,33255,37976,18153,28851,14719,534,6702
Erkulous
ladyofd,1889,338,9756,64,12445
noblike,31933,38524,33255,7674,5231,1842,37521
hanedatomo
OrangeMilk,21,486,13601,2251,9989
Hachimitsu_Drop,918,9969,30375,3656,34096,34262,27727,31417
PurpleRose328,235,38816,23289,5114,11061,1604,37999,37105,2251,2034
bondtux,10805,28907,38993
Alexander-lee1,1575,2904,849,4382,7311
simdoggyd
Poparteeb,245,9253,2966,10030,2581
Saandro
Gho3st,33,16498,9253,4181,437,7193,1210,21,37521
Foxstens,34096,30654,33352
TJ_Funhouse
Fortune-sama30,36838,32937,31240,24833,30,6547,5081
ChanLiTCP
Hanano-Toma
totallynottati,39533,14713,120,28851,36456
versace_miyazaki,19,33,1,30,298
MadTitanProd,732,47,270
AlanDSouza
Fanboys,1535,20,9969,136,44,20583,11771,269,1254
